r_value	ARI
32.000000	0.054454
31.914896	0.054702
31.829791	0.050312
31.744687	0.052087
31.659583	0.048597
31.574479	0.045178
31.489374	0.053082
31.404270	0.045839
31.319166	0.042014
31.234062	0.041616
31.148957	0.040561
30.978749	0.037873
31.063853	0.037901
30.893645	0.043485
30.808540	0.037353
30.723436	0.037219
30.638332	0.034018
30.553228	0.032920
30.468123	0.030750
30.383019	0.036068
30.297915	0.031819
30.212811	0.031445
30.127706	0.035543
30.042602	0.033004
29.957498	0.031136
29.872394	0.031210
29.531977	0.028393
29.787289	0.031173
29.702185	0.030028
29.446872	0.027015
29.617081	0.028928
29.361768	0.028901
29.276664	0.029749
28.851143	0.028712
29.191560	0.028469
29.021351	0.027226
28.766038	0.028312
29.106455	0.025131
28.936247	0.026473
28.595830	0.029856
28.680934	0.028377
28.425621	0.027001
28.510726	0.026830
28.340517	0.027099
28.000100	0.029671
28.255413	0.026394
28.170309	0.026710
28.085204	0.026042
