[ikvasilev@sms results]$ cat all_experiments_h20.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP1_CLEAR,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP1_CLEAR,11304,None,0,0.098060,0.285000,0.112521,0.123606,0.103000,0.158057
EXP1_CLEAR,12608,None,0,0.081058,0.254000,0.112342,0.100257,0.100000,0.145043
EXP1_CLEAR,13913,None,0,0.076684,0.278000,0.083497,0.088739,0.088000,0.111994
EXP1_CLEAR,15217,None,0,0.064746,0.310000,0.073829,0.091487,0.129000,0.103981
EXP1_CLEAR,16521,None,0,0.050698,0.270000,0.077998,0.071384,0.116000,0.095631
EXP1_CLEAR,17826,None,0,0.068812,0.253000,0.075281,0.108525,0.097000,0.142046
EXP1_CLEAR,19130,None,0,0.068510,0.244000,0.088617,0.092541,0.088000,0.111492
EXP2_MIX,909,27.9000,9091,0.204722,0.559000,0.404620,0.258241,0.314000,0.566342
EXP1_CLEAR,20434,None,0,0.051016,0.235000,0.057351,0.080391,0.096000,0.090698
EXP2_MIX,1818,27.9000,8182,0.217049,0.457000,0.397360,0.233742,0.213000,0.479854
EXP2_MIX,0,27.9000,10000,0.103798,0.344000,0.137680,0.125265,0.169000,0.180186
EXP2_MIX,3636,27.9000,6364,0.088959,0.322000,0.137124,0.124322,0.143000,0.228218
EXP2_MIX,2727,27.9000,7273,0.210111,0.451000,0.368821,0.220795,0.220000,0.428661
EXP2_MIX,7272,27.9000,2728,0.086977,0.322000,0.095269,0.115293,0.150000,0.133715
EXP2_MIX,4545,27.9000,5455,0.096814,0.364000,0.125008,0.116030,0.155000,0.161020
EXP2_MIX,5454,27.9000,4546,0.086914,0.356000,0.116471,0.098315,0.159000,0.133387
EXP2_MIX,6363,27.9000,3637,0.078787,0.327000,0.106295,0.107305,0.132000,0.153834
EXP1_CLEAR,21739,None,0,0.077432,0.186000,0.090555,0.100952,0.057000,0.125628
EXP2_MIX,8181,27.9000,1819,0.093355,0.276000,0.115795,0.108388,0.124000,0.177898
EXP1_CLEAR,23043,None,0,0.057695,0.181000,0.075459,0.095171,0.059000,0.122225
EXP2_MIX,9090,27.9000,910,0.096523,0.380000,0.135277,0.103893,0.175000,0.166368
EXP1_CLEAR,24347,None,0,0.052893,0.164000,0.066818,0.080348,0.068000,0.089277
