[ikvasilev@sms results]$ cat final_results_h20.csv
Group,r,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
BASELINE_10K,28.000000,0.058090904381383646,0.376,0.090731487232968,0.07400417703760628,0.165,0.10816478888951638
BEST,27.975661,0.0786308338368406,0.145,0.09436991266970207,0.10079085468489765,0.052,0.1280131126905188
BEST,27.951465,0.06359081515754704,0.141,0.0873036319392035,0.08635971800213,0.06,0.10567672965355218
BEST,27.975399,0.08147012289210938,0.163,0.09360925971189997,0.09532586570348511,0.064,0.11041772404431724
BEST,28.026790,0.11107260803526554,0.158,0.1040192858714863,0.1311626607284072,0.057,0.13902435764268162
BEST,28.078051,0.09866107340354911,0.128,0.12872840308566452,0.11915125449162454,0.055,0.1421785014158941
BEST,28.111136,0.1143952802570522,0.086,0.15136406211833375,0.1330400479878267,0.022,0.17547873608785286
BEST,28.030726,0.07317172475852621,0.132,0.08575628094403163,0.0888914588554347,0.053,0.10396237706473259
BEST,27.962392,0.0717406627197557,0.133,0.08192453065017316,0.09450204047910485,0.06,0.11596933202494371
BEST,28.049115,0.0614996848043957,0.136,0.07982592070346894,0.08239037968395191,0.054,0.11186754233643927
BEST,28.197739,0.06611112085834038,0.157,0.06711207382324746,0.07713904994435539,0.055,0.08543516014147542
BASELINE_30K,28.000000,0.07617766923975947,0.103,0.10050782882354059,0.08714341594081024,0.035,0.11218304161155129
BEST,28.122219,0.12668835882133433,0.131,0.15710900308766984,0.14995856539654387,0.05,0.21006992241874844
BEST,28.065500,0.07337298984726716,0.141,0.09002605754769932,0.09108377657896866,0.05,0.11300656188755953
BEST,28.011197,0.08484151410121372,0.119,0.10003915806975794,0.10490032565509483,0.037,0.1306951232049987
BEST,27.964612,0.05672718266870754,0.13,0.08706357855453403,0.08403382832929712,0.047,0.10263889247311896
BEST,28.058092,0.11434403899748304,0.121,0.14878893520014677,0.1264773562797245,0.054,0.18166880187355108
BEST,27.988957,0.0570113143867355,0.144,0.08322194275844635,0.08792335984230354,0.048,0.11175649278119228
BEST,27.971748,0.10148950029585378,0.129,0.13879851563950862,0.1357809456998937,0.048,0.19302944662240376
