r,Group
28.07770217360222,Selected
27.971093658191435,Selected
28.135954158196252,Selected
28.012266587057923,Selected
28.139617158076693,Selected
28.107770018339867,Selected
27.877571754675053,Selected
28.04836348972383,Selected
27.84981878843187,Selected
27.92788708626537,Selected
27.969442939969106,Selected
28.075277378269487,Selected
28.007001816268435,Selected
28.113444227236595,Selected
27.795526416040374,Selected
27.78915615144374,Selected
28.074419338531076,Selected
28.14530768451448,Selected
28.03582898944872,Selected
28.157063442528656,Selected
28.186352026494813,Selected
27.84828238161049,Selected
28.057574909640113,Selected
27.850423764302548,Selected
27.843353062954208,Selected
28.030878222396744,Selected
27.925312299251736,Selected
27.953991810849388,Selected
27.983402331312597,Selected
28.188259480041893,Selected
27.833676050600566,Selected
27.76726427859832,Selected
28.245244256794415,Selected
28.156421181603992,Selected
27.793809096505004,Selected
27.808084799926313,Selected
27.831835523193593,Selected
28.20601868621009,Selected
27.86232877148228,Selected
28.103826156890907,Selected
28.097857228258924,Selected
28.251462270174244,Selected
27.981009814619373,Selected
27.98496742478417,Selected
27.736438089365926,Selected
28.169192490848822,Selected
27.993102212653003,Selected
27.981263785252374,Selected
28.0893875594851,Selected
28.2863808835899,Selected
27.52967426258372,Random
30.448485922696413,Random
25.14047150500777,Random
32.1375817372442,Random
32.724917787088316,Random
26.931615167734908,Random
29.521469696974187,Random
27.369914886460577,Random
29.75427481105747,Random
23.870183279913096,Random
23.785772570371545,Random
31.583406224128062,Random
30.610893439083995,Random
27.639270402894553,Random
27.890549871886705,Random
26.465072170191835,Random
26.933257309817474,Random
28.63288515145208,Random
23.92645529473433,Random
28.07088883995791,Random
26.86894375464632,Random
28.456402224493473,Random
23.538587528515897,Random
23.80238583499443,Random
31.141632563220668,Random
30.81874726505027,Random
30.319995138939127,Random
29.865301091952364,Random
29.368925242678742,Random
28.88322819510379,Random
23.02397217806128,Random
30.351668056158047,Random
24.910654054403185,Random
29.487016846821927,Random
25.735075057845016,Random
28.257881150754827,Random
27.871484602462793,Random
31.925771742502363,Random
27.167120059336533,Random
32.69679390068649,Random
26.12000032866671,Random
23.853131080727824,Random
24.505412137624763,Random
26.935757496366826,Random
26.427420774321995,Random
26.436421632263404,Random
28.46864709900247,Random
24.32539594262337,Random
25.559986013805506,Random
27.667511678530918,Random
