[ikvasilev@sms results]$ cat all_experiments_h1.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP1_CLEAR,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP1_CLEAR,11304,None,0,0.010317,0.218000,0.017824,0.012692,0.090000,0.021226
EXP1_CLEAR,12608,None,0,0.008799,0.253000,0.017482,0.027589,0.126000,0.030428
EXP1_CLEAR,13913,None,0,0.009532,0.212000,0.017722,0.027336,0.099000,0.020773
EXP1_CLEAR,15217,None,0,0.008688,0.186000,0.017144,0.016295,0.091000,0.020626
EXP1_CLEAR,16521,None,0,0.011556,0.195000,0.018554,0.018517,0.089000,0.021881
EXP1_CLEAR,17826,None,0,0.007908,0.200000,0.014703,0.012824,0.086000,0.017834
EXP1_CLEAR,19130,None,0,0.009726,0.172000,0.016913,0.016754,0.091000,0.020289
EXP1_CLEAR,20434,None,0,0.008942,0.136000,0.017874,0.023431,0.057000,0.020831
EXP2_MIX,1818,27.9000,8182,0.023176,0.387000,0.035710,0.039350,0.218000,0.052794
EXP1_CLEAR,21739,None,0,0.008898,0.192000,0.016940,0.015903,0.079000,0.025871
EXP2_MIX,0,27.9000,10000,0.010333,0.237000,0.022497,0.029138,0.113000,0.035473
EXP2_MIX,909,27.9000,9091,0.070601,0.587000,0.103732,0.069534,0.402000,0.107183
EXP2_MIX,2727,27.9000,7273,0.036190,0.402000,0.045742,0.054143,0.200000,0.076657
EXP1_CLEAR,23043,None,0,0.008513,0.134000,0.017325,0.014430,0.054000,0.020589
EXP2_MIX,3636,27.9000,6364,0.029609,0.290000,0.030266,0.034252,0.157000,0.033422
EXP1_CLEAR,24347,None,0,0.009009,0.129000,0.016213,0.011069,0.064000,0.017729
EXP1_CLEAR,25652,None,0,0.012292,0.127000,0.017618,0.013103,0.058000,0.020003
EXP1_CLEAR,26956,None,0,0.008493,0.108000,0.014788,0.011003,0.045000,0.018050
EXP1_CLEAR,29565,None,0,0.008291,0.132000,0.015527,0.010292,0.057000,0.018775
EXP1_CLEAR,28260,None,0,0.008242,0.122000,0.015199,0.011958,0.059000,0.018387
EXP2_MIX,5454,27.9000,4546,0.010370,0.317000,0.021238,0.015481,0.162000,0.024278
EXP2_MIX,4545,27.9000,5455,0.011471,0.308000,0.023528,0.017318,0.150000,0.031429
EXP1_CLEAR,30869,None,0,0.008324,0.120000,0.014571,0.011180,0.053000,0.017089
EXP1_CLEAR,32173,None,0,0.007928,0.117000,0.014176,0.014430,0.048000,0.017321
EXP1_CLEAR,34782,None,0,0.009425,0.078000,0.016369,0.014765,0.031000,0.020945
EXP2_MIX,9090,27.9000,910,0.009857,0.279000,0.020578,0.012457,0.140000,0.024230
EXP2_MIX,7272,27.9000,2728,0.009008,0.291000,0.017200,0.015511,0.167000,0.022283
EXP2_MIX,8181,27.9000,1819,0.009691,0.260000,0.018464,0.017820,0.142000,0.023122
EXP2_MIX,6363,27.9000,3637,0.010682,0.253000,0.018741,0.015025,0.117000,0.022849
EXP2_MIX,1818,28.0001,8182,0.012568,0.309000,0.029344,0.019085,0.137000,0.039648
EXP2_MIX,2727,28.0001,7273,0.012273,0.316000,0.025820,0.019813,0.153000,0.031291
EXP2_MIX,909,28.0001,9091,0.019777,0.381000,0.034342,0.037629,0.216000,0.043242
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP2_MIX,0,28.0001,10000,0.025212,0.316000,0.029764,0.039092,0.154000,0.053241
EXP1_CLEAR,33478,None,0,0.008592,0.092000,0.015297,0.021254,0.041000,0.020628
EXP2_MIX,6363,28.0001,3637,0.010653,0.294000,0.019439,0.015467,0.132000,0.024815
EXP2_MIX,7272,28.0001,2728,0.010817,0.279000,0.018746,0.020872,0.158000,0.028778
EXP1_CLEAR,36086,None,0,0.012657,0.107000,0.016290,0.019567,0.050000,0.019238
EXP2_MIX,5454,28.0001,4546,0.016558,0.329000,0.024215,0.027233,0.166000,0.028945
EXP2_MIX,3636,28.0001,6364,0.058758,0.488000,0.068376,0.059323,0.301000,0.079173
EXP2_MIX,4545,28.0001,5455,0.014607,0.341000,0.026699,0.017036,0.165000,0.031749
EXP2_MIX,8181,28.0001,1819,0.014559,0.274000,0.020398,0.016537,0.144000,0.024642
EXP2_MIX,9090,28.0001,910,0.010292,0.282000,0.021210,0.013540,0.150000,0.026373
EXP1_CLEAR,37391,None,0,0.008176,0.094000,0.015909,0.011179,0.030000,0.018299
EXP1_CLEAR,38695,None,0,0.008436,0.087000,0.015866,0.019177,0.028000,0.021004
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP2_MIX,909,28.0100,9091,0.147061,0.629000,0.295684,0.140624,0.543000,0.293337
EXP2_MIX,0,28.0100,10000,0.033514,0.420000,0.051556,0.042430,0.240000,0.064157
EXP2_MIX,1818,28.0100,8182,0.078696,0.589000,0.105885,0.083510,0.409000,0.132600
EXP2_MIX,2727,28.0100,7273,0.010559,0.274000,0.021533,0.014954,0.152000,0.029597
EXP2_MIX,5454,28.1000,4546,0.009803,0.319000,0.016896,0.031390,0.158000,0.027234
EXP2_MIX,3636,28.0100,6364,0.035532,0.455000,0.053788,0.039354,0.270000,0.060550
EXP2_MIX,4545,28.0100,5455,0.013483,0.348000,0.025511,0.020664,0.160000,0.030169
EXP2_MIX,6363,28.0100,3637,0.011247,0.322000,0.018448,0.016784,0.153000,0.024329
EXP2_MIX,7272,28.0100,2728,0.010463,0.306000,0.018114,0.020563,0.174000,0.028236
EXP2_MIX,5454,28.0100,4546,0.017952,0.299000,0.023600,0.019568,0.156000,0.027435
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP2_MIX,9090,28.0100,910,0.010826,0.271000,0.022258,0.014100,0.135000,0.025199
EXP2_MIX,8181,28.0100,1819,0.011758,0.275000,0.020306,0.013927,0.154000,0.023212
EXP2_MIX,1818,28.1000,8182,0.049744,0.541000,0.057291,0.049793,0.335000,0.064485
EXP2_MIX,2727,28.1000,7273,0.047581,0.472000,0.058839,0.053449,0.292000,0.078159
EXP2_MIX,0,28.1000,10000,0.028392,0.326000,0.028621,0.028227,0.180000,0.032942
EXP2_MIX,909,28.1000,9091,0.100252,0.624000,0.164701,0.096227,0.495000,0.165121
EXP2_MIX,4545,28.1000,5455,0.012055,0.334000,0.022872,0.015430,0.160000,0.026761
EXP2_MIX,3636,28.1000,6364,0.012284,0.291000,0.020520,0.017867,0.155000,0.023772
EXP2_MIX,6363,28.1000,3637,0.009736,0.269000,0.016928,0.016131,0.126000,0.023099
EXP2_MIX,8181,28.1000,1819,0.009539,0.272000,0.017937,0.028658,0.142000,0.027522
EXP2_MIX,7272,28.1000,2728,0.009780,0.280000,0.016614,0.016471,0.163000,0.020694
EXP2_MIX,9090,28.1000,910,0.010001,0.286000,0.021722,0.013075,0.142000,0.025233
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,1304,0.008410,0.218000,0.017482,0.013471,0.093000,0.023966
EXP3_HYBRID,10000,27.9000,2608,0.009713,0.210000,0.017230,0.028636,0.091000,0.033553
EXP3_HYBRID,10000,27.9000,3913,0.008217,0.184000,0.017428,0.028569,0.072000,0.033381
EXP3_HYBRID,10000,27.9000,5217,0.009643,0.176000,0.018287,0.012764,0.072000,0.022825
