share,metric_value
0.0,115704.28634823153
0.0333,102710.40422365197
0.0666,112834.0769756669
0.09990000000000002,105928.50058898379
0.1332,106170.18407135442
0.1665,104265.18777157187
0.1998,106767.22105294451
0.23310000000000003,101530.87858857174
0.2664,106166.49075141226
0.2997,110793.53834426921
0.333,112049.69596881523
0.3663,103545.49487054373
0.3996,104877.21810114628
0.43290000000000006,98069.22129284195
0.46620000000000006,98491.73333418876
0.49950000000000006,100087.03419465997
0.5328,104463.70696848667
0.5661,100713.27061357774
0.5994,97632.50576358581
0.6327,90705.33032380244
0.666,80770.99078021446
0.6993,85443.70841412323
0.7326,90765.8756337258
0.7659,91880.86542060557
0.7992,88224.3818383832
0.8325000000000001,85238.43483964622
0.8658000000000001,88653.38394097995
0.8991000000000001,91939.39691801
0.9324000000000001,100776.04903595679
0.9657000000000001,103518.3067411016
0.9990000000000001,103756.74995815312
1.0,103764.87229785185
share,metric_value
0.0,100981.2540991506
0.0333,95079.46139921331
0.0666,93302.1481572727
0.09990000000000002,90398.21239039484
0.1332,87279.92734772232
0.1665,82302.63581188222
0.1998,97168.41616883126
0.23310000000000003,96424.65801038234
0.2664,96269.36172960793
0.2997,96347.2826695258
0.333,96245.47279179114
0.3663,97227.79342472448
0.3996,95950.44760576119
0.43290000000000006,99424.07132358008
0.46620000000000006,95630.86660363739
0.49950000000000006,93921.93532892938
0.5328,98539.83852705317
0.5661,98016.89499390566
0.5994,91081.06550843459
0.6327,93004.90239042419
0.666,96602.65166577381
0.6993,104811.3294354335
0.7326,100538.11461908864
0.7659,92197.12576077496
0.7992,90532.50550766206
0.8325000000000001,90197.33471524177
0.8658000000000001,92291.51175429004
0.8991000000000001,84810.33758510415
0.9324000000000001,93315.19375629994
0.9657000000000001,102518.4216405923
0.9990000000000001,103756.757182077
1.0,103764.87229785185
share,metric_value
0.0,87478.9011451023
0.0333,79167.83946156701
0.0666,78208.19570296287
0.09990000000000002,71138.96671877186
0.1332,68398.51839285836
0.1665,67393.57182074695
0.1998,72299.42082778743
0.23310000000000003,71370.83436071518
0.2664,74681.50585559537
0.2997,73261.69768925547
0.333,69270.32969605082
0.3663,71720.52734883437
0.3996,65417.25176564841
0.43290000000000006,66221.79402195018
0.46620000000000006,63247.940043057766
0.49950000000000006,60474.679710705626
0.5328,63597.15937141517
0.5661,62234.762990835065
0.5994,64073.92922344177
0.6327,61197.88644070324
0.666,59482.844404731906
0.6993,57422.674427649006
0.7326,64128.83337662071
0.7659,67359.11398107452
0.7992,66281.68708340461
0.8325000000000001,61142.74254106616
0.8658000000000001,66084.16806116175
0.8991000000000001,71870.9449739711
0.9324000000000001,92300.331716753
0.9657000000000001,102180.91918946296
0.9990000000000001,103755.94269645071
1.0,103764.87229785185
